date,L_1,L_2,L_3,L_4,L_5,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35,P_36,P_37,P_38,P_39
12/25/2023,2,12,15,18,25,1,2,0,0,1,1,2,3,1,1,0,2,1,0,2,1,1,2,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
12/26/2023,3,19,35,36,38,2,0,2,1,2,0,0,2,1,1,1,0,0,0,1,0,1,0,2,0,1,0,0,0,0,1,1,0,0,0,2,0,0,1,1,2,3,2,0
12/27/2023,2,5,22,24,33,1,1,1,0,2,2,0,1,1,1,1,0,0,0,0,0,0,3,1,2,0,1,1,2,0,1,1,0,0,1,0,0,2,0,1,0,1,1,1
12/28/2023,2,23,24,30,32,0,1,0,1,0,0,2,1,1,0,0,0,0,2,0,2,0,0,2,0,0,0,1,1,0,1,0,1,0,2,1,3,2,2,0,1,1,1,1
12/29/2023,3,8,11,16,18,0,0,1,2,1,0,1,2,1,0,3,0,1,0,1,2,0,1,0,1,3,2,0,1,1,0,1,0,0,0,1,0,0,2,0,0,1,0,1
12/30/2023,5,21,23,34,38,1,1,0,0,1,1,0,0,0,0,2,0,0,3,2,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,2,2,3,1,1,0,0,1,0
12/31/2023,6,10,12,22,35,0,0,0,2,1,1,3,0,1,2,0,1,0,2,0,1,2,0,0,1,1,2,0,0,0,0,1,0,2,1,3,1,0,0,2,0,0,0,0
1/1/2024,8,10,19,25,32,0,0,2,0,0,0,0,2,1,1,0,1,0,0,1,2,0,0,1,1,0,1,2,0,3,2,2,1,0,1,2,1,0,0,0,1,0,0,2
1/2/2024,13,23,27,34,35,0,1,1,2,0,0,1,1,0,0,0,3,1,0,0,0,1,0,0,1,3,0,1,0,1,1,2,3,2,1,0,1,1,1,1,0,0,0,0
1/3/2024,11,19,20,35,39,1,0,1,2,0,0,0,1,2,1,3,1,0,0,1,0,0,1,1,2,0,0,0,0,1,0,1,1,0,1,1,0,1,2,4,0,0,0,1
1/4/2024,7,15,21,25,39,0,0,0,1,4,1,3,1,0,0,0,0,1,1,1,1,2,0,0,0,2,1,0,3,1,0,1,0,1,0,0,1,0,0,0,0,0,1,3
1/5/2024,6,8,15,20,31,0,0,0,0,1,2,0,1,0,1,0,0,0,0,1,2,0,0,1,2,1,1,0,1,1,1,2,1,2,2,1,1,1,0,1,0,1,1,1
1/6/2024,6,9,16,17,32,0,0,0,1,3,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,2,1,1,1,1,2,1,1,0,0,1,0,0,2,0,1,0,1
1/7/2024,5,12,13,14,31,0,1,2,0,1,2,0,3,0,2,0,1,2,2,1,1,1,1,0,0,0,0,0,1,0,3,0,1,0,1,1,2,0,0,0,0,0,0,1
1/8/2024,1,12,27,28,34,2,1,2,0,1,3,0,2,0,1,0,2,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,2,0,1,1,0,1
1/9/2024,1,5,10,22,28,2,0,1,1,2,2,0,0,1,2,1,1,1,1,0,1,0,1,0,1,0,1,0,2,0,2,0,1,1,0,1,0,1,1,1,1,0,0,0
1/10/2024,15,18,25,32,38,0,1,0,2,0,0,3,0,0,1,1,0,0,1,2,0,0,1,0,0,0,1,0,0,2,0,0,1,3,1,3,2,0,2,0,0,1,1,1
1/11/2024,6,17,21,28,36,2,1,1,2,1,3,0,0,0,0,0,0,0,0,1,0,1,2,3,0,2,0,0,1,2,2,0,1,0,0,0,0,0,0,0,1,2,1,1
1/12/2024,1,20,23,33,34,1,0,1,0,0,0,0,0,2,1,0,1,1,0,0,1,1,2,1,1,0,1,2,1,0,0,0,0,1,0,1,0,3,1,1,2,2,2,0
1/13/2024,6,13,19,27,30,0,0,0,1,1,1,1,1,2,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,2,1,0,2,1,0,1,0,3,1,2,1,0
1/14/2024,1,2,13,19,21,3,1,0,2,1,1,0,1,0,0,0,0,1,1,0,0,1,3,2,1,1,0,0,1,1,2,1,2,1,1,1,0,0,0,0,0,0,1,0
1/15/2024,6,8,14,27,39,1,0,0,1,1,1,0,1,0,2,0,1,1,4,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,2,2,1,1,1,0,0,0,1
1/16/2024,3,4,6,15,23,0,1,2,2,1,1,1,2,2,0,0,0,2,0,1,1,1,0,0,1,0,0,2,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0
1/17/2024,20,21,25,29,32,2,0,0,1,2,0,1,2,1,0,2,0,0,0,1,1,0,0,0,1,1,2,0,0,2,1,0,1,1,0,1,1,3,0,0,0,1,0,2
1/18/2024,2,14,17,24,25,1,2,0,1,0,1,1,2,2,2,0,0,0,3,0,0,1,0,0,0,0,0,0,3,1,3,1,0,1,0,0,1,0,1,0,0,1,0,2
1/19/2024,2,19,23,28,38,1,1,1,0,0,0,1,0,1,0,2,1,0,1,0,0,0,0,1,0,1,1,2,1,1,0,1,2,1,2,0,1,0,1,2,0,1,1,2
1/20/2024,4,7,21,23,29,0,1,0,2,1,1,1,0,1,1,0,2,1,2,0,1,1,0,1,2,2,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0
1/21/2024,5,6,20,21,29,1,1,2,1,1,1,1,2,1,2,0,1,0,0,1,1,0,2,0,2,2,0,1,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,1
1/22/2024,20,23,35,36,37,1,0,0,0,2,0,0,0,1,1,1,1,0,1,0,0,1,2,0,2,2,0,1,1,0,0,0,1,0,1,1,1,0,1,1,2,3,0,2
